NomePrestadora,CodINEP,siglaUf,NomeMunicipio,DescSituacao,TipoObrigacao,VelAcessoInstalada,DescTecnologia,NomeEscola,DescTipoEscola,DataAtivacao
TELEFÔNICA,25067567[*],PB,Caiçara,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF ISABEL MARIA DA CONCEICAO,Municipal,06/02/2016
TELEFÔNICA,25067613[*],PB,Caiçara,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF PEDRO PEREIRA DA SILVA,Municipal,25/06/2015
TELEFÔNICA,25067648[*],PB,Logradouro,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,E M E I F MANOEL JOAO BARBOSA,Municipal,16/09/2015
TELEFÔNICA,25067664[*],PB,Caiçara,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF MARGARIDA FERNANDES DE OLIVEIRA,Municipal,15/09/2015
TELEFÔNICA,25067672[*],PB,Caiçara,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF NEUZA FIRMINO BEZERRA,Municipal,13/06/2015
TELEFÔNICA,25067753[*],PB,Logradouro,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEIF ANTONIO SOARES DA CRUZ,Municipal,16/09/2015
TELEFÔNICA,25067940[*],PB,Cuitegi,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,GR ESC MUL CAROLINA DE FARIAS PIMENTEL,Municipal,15/09/2015
TELEFÔNICA,25067990[*],PB,Cuitegi,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,GR ESC MUL GERALDO LEITE MORAIS,Municipal,23/01/2015
TELEFÔNICA,25068024[*],PB,Cuitegi,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,GR ESC MUL EMIDIO MADRUGA,Municipal,15/09/2015
TELEFÔNICA,25068148[*],PB,Sertãozinho,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF ONALDINA TEIXEIRA,Municipal,15/09/2015
TELEFÔNICA,25068156[*],PB,Duas Estradas,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF ROSIL DE CARVALHO COSTA,Municipal,26/09/2015
TELEFÔNICA,25068172[*],PB,Sertãozinho,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF SEVERINA NOGUEIRA,Municipal,14/09/2015
